Results from the numerical calculation of the cantilever motion

Input

Parameter	value in SI units
L	0.0002
H	1e-005
w	5e-005
zeta	0.2
psi	0
k	2.5
mT	5e-012
mL	5e-011
eta	10000
k1	100
k2	85
g1	0
g2	0
d1	1e-012
d2	0
f0	0
VACxDV	0
u0	0
epsilon_r	1
LaserPosition	1
Df	10000
TE	0

fStart	250000
fStop	300000
fStep	1000
AdjustDf	0
AdjustQAir	0
AdjustQContact	0
Precision	1e-007
IntegrationSteps	10000

AdjustParametersFromExperiment	1
ResonanceCurve	1
ContactStiffnessVariation	5
LeverShape	1

Input_Experimental

Parameter	value in SI units
ffree1	50000
Qfree1	100
ffree2	335000
Qfree2	350
fcr	270000
Qcr	50
csr	0.85
Min_k1	1
Max_k1	10000

Adjusted parameters

Parameter	value in SI units
mT	9.34129e-012
mL	6.63322e-011
eta	3136.46
k1	260.44
k2	221.374
g1	1.43827e-005
g2	1.22253e-005

Amplitude and phase as a function of frequency

f	A	phi
216000	1.40574e-008	-3.12341
217000	1.4532e-008	-3.12191
218000	1.50256e-008	-3.12037
219000	1.55393e-008	-3.11881
220000	1.60742e-008	-3.11721
221000	1.66317e-008	-3.11558
222000	1.72132e-008	-3.1139
223000	1.78202e-008	-3.11218
224000	1.84544e-008	-3.11042
225000	1.91176e-008	-3.10861
226000	1.98118e-008	-3.10674
227000	2.05392e-008	-3.10481
228000	2.13021e-008	-3.10282
229000	2.21032e-008	-3.10076
230000	2.29453e-008	-3.09863
231000	2.38316e-008	-3.09641
232000	2.47656e-008	-3.09411
233000	2.57511e-008	-3.09171
234000	2.67925e-008	-3.0892
235000	2.78946e-008	-3.08658
236000	2.90626e-008	-3.08384
237000	3.03026e-008	-3.08096
238000	3.16214e-008	-3.07793
239000	3.30266e-008	-3.07473
240000	3.45267e-008	-3.07135
241000	3.61316e-008	-3.06777
242000	3.78525e-008	-3.06397
243000	3.97023e-008	-3.05992
244000	4.16956e-008	-3.05558
245000	4.38496e-008	-3.05094
246000	4.61844e-008	-3.04595
247000	4.87232e-008	-3.04056
248000	5.14936e-008	-3.03471
249000	5.45282e-008	-3.02835
250000	5.78662e-008	-3.0214
251000	6.15546e-008	-3.01376
252000	6.56507e-008	-3.00531
253000	7.02245e-008	-2.99593
254000	7.53632e-008	-2.98542
255000	8.11759e-008	-2.97358
256000	8.78011e-008	-2.96012
257000	9.5417e-008	-2.94467
258000	1.04256e-007	-2.92676
259000	1.14628e-007	-2.90574
260000	1.2695e-007	-2.88072
261000	1.41796e-007	-2.85046
262000	1.59972e-007	-2.81315
263000	1.82626e-007	-2.76612
264000	2.11405e-007	-2.70525
265000	2.48646e-007	-2.62405
